"ID","Title","Authors","Year","Venue","IEEE_Non_IEEE","DOI","Research_Problem","Technology","QKD","PQC","Hybrid_QKD_PQC","6G","Healthcare","EHR","IoMT","Edge_Computing","Methodology","Simulation_Experimental_Setup","Dataset_Network_Model","Metrics","Main_Findings","Limitations","Relevance_To_Our_Paper","Potential_Overlap_With_Proposed_Work","Tier","Evidence_Label","Verified"
"P11","Postquantum Cryptography and Quantum Communication for Quantum-Secure 6G Networks: Architecture, Challenges, Opportunities, and Use Cases","N/A - this is an IEEE ComSoc Special Issue call-for-papers page, not a single authored paper","2026","IEEE Communications Standards Magazine (Special Issue CFP)","IEEE","N/A (CFP, not yet a citable article - FLAGGED, do not cite as a research finding)","Framing document soliciting papers for a 6G quantum-secure special issue","Lists intended topic scope only: PQC hardware/software, hybrid classical-quantum frameworks, quantum cryptography for edge/fog in 6G, standardization","No","No","No (topic list only, no findings)","Yes","No","No","No","Yes (topic listed)","N/A - this is a CFP, not a study","N/A","N/A","N/A","Identifies hybrid classical-quantum cryptographic frameworks and edge/fog quantum cryptography for 6G as OPEN special-issue topics being solicited - i.e. the field explicitly still considers this an open research area as of this CFP","This is NOT a research finding - it is evidence that the topic is actively being solicited as under-addressed","USEFUL ONLY as corroborating evidence that 'hybrid classical-quantum for 6G edge/fog' is recognized by IEEE ComSoc as an open gap - supports gap-signal reasoning","N/A - not a competing system","N/A (context document, not a paper - excluded from Tier count)","N/A","Y-fetched-but-flagged-as-non-paper-context-only"
"P12","Quantum-Safe Networks for 6G: An Integrated Survey on PQC, QKD, and Satellite QKD with Future Perspectives","UNVERIFIED (author names not yet extracted)","2025","UNVERIFIED (scifiniti.com-hosted; journal name/indexing status not yet confirmed - possible non-traditional venue, needs verification)","UNVERIFIED","UNVERIFIED","Integrated survey of PQC, QKD, and satellite QKD for 6G networks","Survey covering hybrid cryptographic models combining traditional and quantum-resistant algorithms; KPI and scalability discussion","Yes","Yes","Yes (discussed as survey topic - hybrid cryptographic models explicitly covered)","Yes","Yes (named as a sector needing quantum-safe mechanisms alongside finance/manufacturing - not a healthcare-specific focus)","No","No","No","Survey/review","N/A","N/A","N/A (qualitative survey)","Identifies hybrid QKD+PQC as addressing PQC's large-key-size latency concerns; notes NGMN calls for adaptable hybrid security architectures for 6G; healthcare named only as motivating context, not evaluated","VENUE NOT YET VERIFIED as a peer-reviewed indexed journal - treat cautiously pending verification; healthcare treated only as motivating context, not evaluated","MEDIUM - useful survey-level corroboration for the 6G+Hybrid-QKD-PQC state-of-the-art section, but venue credibility needs confirmation before Task 4 finalization","LOW-MODERATE (survey, not a competing implemented system)","2","PROPOSED (survey-level claims; venue unverified)","PARTIAL-venue-credibility-UNVERIFIED"
"P13","Overview of Routing Approaches in Quantum Key Distribution Networks","UNVERIFIED (author names not yet extracted)","2025","arXiv preprint (arXiv:2511.15465)","Non-IEEE (preprint)","UNVERIFIED (preprint, no DOI)","Survey/classification of QKD network routing strategies, 2013-2024","Classifies 26 routing strategies for terrestrial/satellite/hybrid QKD networks; dynamic key-aware routing, multipath strategies, SDN-based orchestration","Yes","No","No (mentions reducing trusted-node dependence 'through quantum repeaters OR post-quantum cryptography' as a future direction, not an implemented hybrid)","No","No","No","No","No","Systematic survey of 26 routing strategies (2013-2024)","N/A","N/A","Service rejection rate reduction (25-40%) via dynamic key-aware routing vs static shortest-path; multipath strategies improve resilience at 30-60% higher key consumption","Classifies QKD routing into terrestrial/satellite/hybrid categories; dynamic key-aware and SDN-orchestrated routing outperform static approaches; flags reducing trusted-node dependence via quantum repeaters or PQC as a still-open critical research direction","Preprint, not peer-reviewed; survey-level claims only, no original experiment","MEDIUM - useful for the QKD state-of-the-art (key management/routing/trusted-node reduction) section; corroborates that a QKD+PQC combination for trust reduction is still an open direction","LOW (foundational QKD networking survey, not healthcare/6G-specific)","3","ESTABLISHED (routing performance claims within survey); PROPOSED (future QKD+PQC trust reduction)","PARTIAL-snippet-only-preprint-flagged"
"P14","Deployed trusted-node quantum key distribution over 300 km with a multi-core fiber access link","Clason, Martin; Argillander, Joakim; Bergstrom, Didrik; Spegel-Lexne, Daniel; Foletto, Giulio; El Hassan, Ashraf; Bourennane, Mohamed; Gunlu, Onur; Gallo, Katia; Lin, Rui; [11th author truncated in retrieved source - NEEDS FULL VERIFICATION]","2026","arXiv preprint (arXiv:2606.06107)","Non-IEEE (preprint - NOT peer-reviewed at time of retrieval)","UNVERIFIED (preprint, no DOI)","Extending QKD deployment distance/practicality using multi-core fiber for metropolitan access links","Trusted-node QKD, commercial QKD systems + external superconducting nanowire single-photon detectors, multi-core fiber (MCF) core-switching","Yes","No","No","No","No","No","No","No (telecom infrastructure, not IoT/healthcare-style edge computing)","Field experiment (real deployed fiber infrastructure, not simulation)","270km deployed single-mode fiber (Linkoping-Stockholm) + 33km multi-core fiber segment = 303km total, with co-propagating classical Ethernet traffic and injected noise","N/A (telecom fiber link, not healthcare data)","Total link distance (303km) and per-sub-link loss figures (110km/23dB, 160km/36dB)","303km trusted-node QKD demonstrated with coexisting classical traffic and injected noise on a real deployed fiber route","Preprint status; real experimental deployment (high evidentiary value for QKD distance/trusted-node constraints) but not yet peer-reviewed; not healthcare or 6G-specific","HIGH for the QKD state-of-the-art section specifically - concrete, recent, real-world evidence of current QKD distance/trusted-node practical limits (directly answers the 'distance/deployment constraints' requirement)","LOW (pure QKD infrastructure demonstration, no healthcare/6G/PQC angle - foundational only)","3","ESTABLISHED (experimentally demonstrated distance/deployment figures)","Y-fetched-abstract-and-body-verified"
"P15","Trusted Node Deployment Strategies for Long-Haul Quantum Key Distribution Networks","UNVERIFIED (cited elsewhere as 'S. K. Patri et al.'; full author list not yet extracted)","2023","IEEE ONDM (International Conference on Optical Network Design and Modeling)","IEEE","UNVERIFIED (IEEE Xplore document/10144871 - DOI not directly captured, needs IEEE Xplore fetch)","Minimizing trusted-node count in long-haul QKD network deployment using existing infrastructure","Near-optimal fiber span aggregation algorithm for trusted-node placement at in-line amplifier huts","Yes","No","No","No","No","No","No","No","Six topological QKD network deployment scenarios plus eight technological deployment scenarios evaluated","Simulated long-haul network topologies","N/A","Secure key rate; number of QKD fiber pairs deployed","Span aggregation algorithm increases inter-trusted-node distance by up to 20%, reducing total trusted-node count","Not healthcare/6G-specific; IEEE Xplore full text not directly fetched (abstract-level verification only via search snippet)","MEDIUM - corroborates QKD trusted-node/distance constraints from a second independent IEEE source","LOW (foundational QKD networking, no healthcare/6G/PQC)","3","ESTABLISHED (simulation-demonstrated trusted-node reduction)","PARTIAL-search-snippet-only-IEEE-Xplore-fetch-recommended"
"P16","A survey on post-quantum cryptography for 5g/6g communications","Zhou, R.; Guo, H.; Teo, F.E.C.; Bakiras, S.","2023","IEEE International Conference on Service Operations and Logistics, and Informatics (SOLI)","IEEE","UNVERIFIED (reference-list verified only - DOI not directly captured)","Survey of PQC applicability to 5G/6G communications","PQC survey (algorithm classes and 5G/6G integration points)","No","Yes","No","Yes","No","No","No","No","Survey","N/A","N/A","N/A","Foundational survey establishing PQC-for-5G/6G as an active IEEE research area since 2023","Verified only via secondary citation (reference list of another paper), not independently fetched","MEDIUM - foundational citation for the 'PQC for 6G' state of the art, establishes field timeline","LOW (foundational survey, not healthcare-specific)","2","ESTABLISHED (field-establishing survey)","PARTIAL-secondary-citation-only-NEEDS-DIRECT-FETCH"
"P17","Analysis of post-quantum cryptography in user equipment in 5g and beyond","Hoque, S.; Aydeger, A.; Zeydan, E.; Liyanage, M.","2025","IEEE 50th Conference on Local Computer Networks (LCN)","IEEE","UNVERIFIED (reference-list verified only)","PQC performance analysis on 5G/6G user equipment","PQC on constrained user-equipment hardware","No","Yes","No","Yes","No","No","No","No","Experimental analysis (per title/context; details not directly extracted)","N/A","N/A","N/A","PQC feasibility analysis for 5G/6G user equipment (2025, IEEE)","Verified only via secondary citation","MEDIUM - recent (2025) IEEE evidence for PQC+6G user-equipment feasibility","LOW (PQC+6G general, not healthcare-specific)","2","PROPOSED","PARTIAL-secondary-citation-only-NEEDS-DIRECT-FETCH"
"P18","Securing Mobile Networks in the Quantum Era: Imperative Role of Post-Quantum Cryptography","Sanon, S.P.; Schotten, H.D.","2025","2025 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit)","IEEE","UNVERIFIED (IEEE Xplore document/11037057 referenced - direct fetch not yet performed)","Role of PQC in securing mobile networks including 6G","PQC for mobile/6G network security (conceptual + analysis, per pp.721-726 short paper)","No","Yes","No","Yes","No","No","No","No","UNVERIFIED (short conference paper, 6 pages)","N/A","N/A","N/A","Discusses the imperative role of PQC for quantum-era mobile network security","Verified only via secondary citation; short-paper format suggests a position/analysis piece rather than a full experimental study","MEDIUM - 2025 IEEE 6G Summit venue directly relevant to our 6G security state-of-the-art section","LOW (PQC+6G general, not healthcare/QKD-specific)","2","PROPOSED","PARTIAL-secondary-citation-only-NEEDS-DIRECT-FETCH"
"P19","Quantum Cryptography in 5G Networks: A Comprehensive Overview","Mehic, M.; Michalek, L.; Dervisevic, E.; Burdiak, P.; Plakalovic, M.; Rozhon, J.; Mahovac, N.; Richter, F.; Kaljic, E.; Lauterbach, F.; Njemcevic, P.; Maric, A.; Hamza, M.; Fazio, P.; Voznak, M.","2024","IEEE Communications Surveys & Tutorials","IEEE","UNVERIFIED (vol 26 no 1 pp 302-346 per reference-list citation - DOI not directly captured)","Comprehensive overview of quantum cryptography (QKD-centric) applicability to 5G networks","Survey of QKD integration approaches for 5G","Yes","No (survey covers quantum cryptography broadly; PQC coverage extent unconfirmed)","No (UNVERIFIED whether hybrid is explicitly covered - needs direct fetch)","No (5G-focused; 6G extension unconfirmed)","No","No","No","No","Survey (large multi-author comprehensive overview, ~44pp)","N/A","N/A","N/A","Establishes comprehensive QKD-for-mobile-networks state of the art in a top-tier IEEE survey venue (Communications Surveys & Tutorials)","Verified only via secondary citation (appears independently in 2 different papers' reference lists, increasing confidence it exists and is influential, but full text not directly fetched)","HIGH-CONFIDENCE-EXISTENCE (cross-confirmed by 2 independent sources) but content details need direct fetch before citing specific claims","LOW-MEDIUM (foundational QKD+mobile-network survey, not healthcare-specific)","2","ESTABLISHED (survey existence and cross-citation confirmed); content claims UNVERIFIED","PARTIAL-cross-confirmed-by-2-sources-but-NEEDS-DIRECT-FETCH"
"P20","A Quantum Key Distribution Routing Scheme for a Zero-Trust QKD Network System: A Moving Target Defense Approach","UNVERIFIED (author names not yet extracted)","2025","UNVERIFIED (MDPI journal, ISSN pattern 2504-2289, vol 9 issue 4 - exact journal title needs confirmation)","Non-IEEE","UNVERIFIED","Secure end-to-end QKD key distribution against compromised trusted relays","Zero-trust spatiotemporal diversification framework for multipath-multi-key QKD distribution","Yes","No","No","No","No","No","No","No","Proposed framework (methodology type not fully extracted)","N/A","N/A","N/A","Zero-trust multipath QKD key-distribution framework addressing trusted-relay compromise risk","Venue/journal name needs direct confirmation; full methodology not extracted","MEDIUM - relevant to the QKD trust-model/key-management state of the art (addresses trusted-node vulnerability, directly relevant to our threat-model discussion)","LOW (foundational QKD networking, no healthcare/PQC)","3","PROPOSED","PARTIAL-snippet-only-NEEDS-FULL-FETCH"
