section,subsection,citation_key,tier,claim_text
Background,Quantum Key Distribution,tfqkd2024longdist,S,"The foundational protocol realizing this idea, BB84, was introduced by Bennett and Brassard in 1984~; subsequent protocol variants have targeted specific practical weaknesses rather than replacing the core idea --- decoy-state methods close a side-channel arising from real, non-single-photon lase..."
Background,Quantum Key Distribution,tfqkd2023nofreqdissem,S,"The foundational protocol realizing this idea, BB84, was introduced by Bennett and Brassard in 1984~; subsequent protocol variants have targeted specific practical weaknesses rather than replacing the core idea --- decoy-state methods close a side-channel arising from real, non-single-photon lase..."
Background,Quantum Key Distribution,qkd2024satellite,S,"First, QKD requires dedicated physical infrastructure --- typically fiber-optic links, though free-space and satellite variants exist~ --- that a purely software-based PQC deployment does not."
Background,Quantum Key Distribution,clason2026deployed,S,"Second, the achievable key-generation rate falls off with distance due to photon loss in the transmission medium, which bounds both the rate and the practical range of a QKD link; a real, field-deployed trusted-node network operating over 300\,km has been reported~, and further field deployments ..."
Background,Quantum Key Distribution,qkd2020trustednodefree,S,"Second, the achievable key-generation rate falls off with distance due to photon loss in the transmission medium, which bounds both the rate and the practical range of a QKD link; a real, field-deployed trusted-node network operating over 300\,km has been reported~, and further field deployments ..."
Background,Quantum Key Distribution,qkd2026multinode,S,"Second, the achievable key-generation rate falls off with distance due to photon loss in the transmission medium, which bounds both the rate and the practical range of a QKD link; a real, field-deployed trusted-node network operating over 300\,km has been reported~, and further field deployments ..."
Background,Quantum Key Distribution,qkd2026metrofield,S,"Second, the achievable key-generation rate falls off with distance due to photon loss in the transmission medium, which bounds both the rate and the practical range of a QKD link; a real, field-deployed trusted-node network operating over 300\,km has been reported~, and further field deployments ..."
Background,Quantum Key Distribution,atutxasanz2025authentication,S,"Third, and most directly relevant to this paper's central mechanism, QKD's classical control channel --- which carries the sifting, error-correction, and privacy-amplification traffic the protocol needs to distill a final secret key from raw quantum measurements --- is not itself protected by the..."
Background,Quantum Key Distribution,nsa2021qkdfaq,S,"National Security Agency's publicly stated skepticism toward QKD for national-security use, documented in the agency's own public FAQ on quantum computing and post-quantum cryptography~: the requirement for dedicated infrastructure, susceptibility to denial-of-service through physical channel dis..."
Background,Quantum Key Distribution,etsi2018whitepaper27,S,"This is not a universally shared institutional position --- the European Telecommunications Standards Institute has published its own technical assessment of QKD's implementation security taking a materially more favorable view of QKD's practical deployability~, consistent with the European Union..."
Background,Quantum Key Distribution,euroqci2026shield,S,"This is not a universally shared institutional position --- the European Telecommunications Standards Institute has published its own technical assessment of QKD's implementation security taking a materially more favorable view of QKD's practical deployability~, consistent with the European Union..."
Background,Quantum Key Distribution,euroqci2026sizing,S,"This is not a universally shared institutional position --- the European Telecommunications Standards Institute has published its own technical assessment of QKD's implementation security taking a materially more favorable view of QKD's practical deployability~, consistent with the European Union..."
Background,Quantum Key Distribution,terraquantum2023nsarebuttal,S,"Independent, non-institutional analyses have engaged directly with the NSA's specific objections~ and have compared deployed QKD use cases against PQC on their respective merits rather than treating the choice as settled in either direction~; NIST's own post-quantum migration guidance, meanwhile,..."
Background,Quantum Key Distribution,qkdvspqccritical2025,S,"Independent, non-institutional analyses have engaged directly with the NSA's specific objections~ and have compared deployed QKD use cases against PQC on their respective merits rather than treating the choice as settled in either direction~; NIST's own post-quantum migration guidance, meanwhile,..."
Background,Quantum Key Distribution,nist2023sp180038,S,"Independent, non-institutional analyses have engaged directly with the NSA's specific objections~ and have compared deployed QKD use cases against PQC on their respective merits rather than treating the choice as settled in either direction~; NIST's own post-quantum migration guidance, meanwhile,..."
Background,Quantum Key Distribution,kabanov2018practical,S,"Combining QKD with a computationally secure key rather than relying on QKD output alone is not itself a new idea in enterprise security planning: Kabanov et al.\ describe a general master-key/session-key hybrid architecture for combining QKD with classical (and, by extension, post-quantum) crypto..."
Background,Symmetric Cryptography Under Quantum Threat,grassl2016groveraes,S,"Grover's algorithm gives a quantum adversary a quadratic, not exponential, speedup against symmetric-key brute-force search, which is why doubling the key length (128-bit security under Grover against a 256-bit key, matching AES-256's target classical security level of 256 bits) is generally cons..."
Background,Symmetric Cryptography Under Quantum Threat,groveroraclesaes2020,S,"Grover's algorithm gives a quantum adversary a quadratic, not exponential, speedup against symmetric-key brute-force search, which is why doubling the key length (128-bit security under Grover against a 256-bit key, matching AES-256's target classical security level of 256 bits) is generally cons..."
Background,Symmetric Cryptography Under Quantum Threat,quantumindcpaaead2025,S,"A formal quantum IND-CPA security treatment of AEAD constructions specifically~ and the IETF's own systematized statement of AEAD security properties~ both support treating AES-256-GCM as the appropriate, standards-grounded choice for this paper's payload-encryption layer; a construction combinin..."
Background,Symmetric Cryptography Under Quantum Threat,ietf2025rfc9771,S,"A formal quantum IND-CPA security treatment of AEAD constructions specifically~ and the IETF's own systematized statement of AEAD security properties~ both support treating AES-256-GCM as the appropriate, standards-grounded choice for this paper's payload-encryption layer; a construction combinin..."
Background,Symmetric Cryptography Under Quantum Threat,mlkemmldsaaes2025,S,"A formal quantum IND-CPA security treatment of AEAD constructions specifically~ and the IETF's own systematized statement of AEAD security properties~ both support treating AES-256-GCM as the appropriate, standards-grounded choice for this paper's payload-encryption layer; a construction combinin..."
Background,6G-Edge Computing for Healthcare,darzi2024counterdos,V,"Post-quantum primitives are already being deployed in other NextG wireless-adjacent security contexts beyond this paper's own EHR focus: Darzi and Yavuz report a real ML-KEM/ML-DSA-based (Kyber/Dilithium, in their terminology) counter-denial-of-service and privacy framework for 5G/6G spectrum acc..."
Related Work and Research Gap,Literature Verification Note,devaraj2026postquantum,V,"Three sources () were independently confirmed via resolved DOI and, in one case, full-text retrieval."
Related Work and Research Gap,Literature Verification Note,frontiers2026pqchealthcare,V,"Three sources () were independently confirmed via resolved DOI and, in one case, full-text retrieval."
Related Work and Research Gap,Literature Verification Note,mdpi2026iomtauth,V,"Three sources () were independently confirmed via resolved DOI and, in one case, full-text retrieval."
Related Work and Research Gap,Literature Verification Note,roosan2025pqctelehealth,S,"A further set of sources --- --- were located via live web search with real, specific titles, authors (where available), and venues identified, but were not independently re-verified against full text at publication-grade confidence."
Related Work and Research Gap,Literature Verification Note,papadopoulos2026hybriddeployment,S,"A further set of sources --- --- were located via live web search with real, specific titles, authors (where available), and venues identified, but were not independently re-verified against full text at publication-grade confidence."
Related Work and Research Gap,Literature Verification Note,spooren2026pqcenhanced,S,"A further set of sources --- --- were located via live web search with real, specific titles, authors (where available), and venues identified, but were not independently re-verified against full text at publication-grade confidence."
Related Work and Research Gap,Literature Verification Note,atutxasanz2025authentication,S,"A further set of sources --- --- were located via live web search with real, specific titles, authors (where available), and venues identified, but were not independently re-verified against full text at publication-grade confidence."
Related Work and Research Gap,Literature Verification Note,zhu2025technoeconomic,S,"A further set of sources --- --- were located via live web search with real, specific titles, authors (where available), and venues identified, but were not independently re-verified against full text at publication-grade confidence."
Related Work and Research Gap,Literature Verification Note,mahesh2025pcbqc,S,"A further set of sources --- --- were located via live web search with real, specific titles, authors (where available), and venues identified, but were not independently re-verified against full text at publication-grade confidence."
Related Work and Research Gap,Literature Verification Note,maqsood2025enhancing,S,"A further set of sources --- --- were located via live web search with real, specific titles, authors (where available), and venues identified, but were not independently re-verified against full text at publication-grade confidence."
Related Work and Research Gap,Literature Verification Note,anon2026securemedical,S,"A further set of sources --- --- were located via live web search with real, specific titles, authors (where available), and venues identified, but were not independently re-verified against full text at publication-grade confidence."
Related Work and Research Gap,Literature Verification Note,kudaloor2026towardquantumsafe,S,"A further set of sources --- --- were located via live web search with real, specific titles, authors (where available), and venues identified, but were not independently re-verified against full text at publication-grade confidence."
Related Work and Research Gap,Literature Verification Note,clason2026deployed,S,"A further set of sources --- --- were located via live web search with real, specific titles, authors (where available), and venues identified, but were not independently re-verified against full text at publication-grade confidence."
Related Work and Research Gap,Post-Quantum and Hybrid QKD-PQC Security for Healthcare,devaraj2026postquantum,V,"Devaraj et al.\ propose a multi-layered PQC architecture (ML-KEM and ML-DSA-class primitives) for 6G-enabled smart hospitals~; this is the most directly comparable prior architecture we identified, though it is PQC-only and does not incorporate a QKD component."
Related Work and Research Gap,Post-Quantum and Hybrid QKD-PQC Security for Healthcare,frontiers2026pqchealthcare,V,"A broader review of post-quantum cryptography for healthcare data, connected devices, and digital health infrastructure appears in~, and a systematic review of post-quantum authentication specifically for the Internet of Medical Things (IoMT), screening 63 studies, appears in~."
Related Work and Research Gap,Post-Quantum and Hybrid QKD-PQC Security for Healthcare,mdpi2026iomtauth,V,"A broader review of post-quantum cryptography for healthcare data, connected devices, and digital health infrastructure appears in~, and a systematic review of post-quantum authentication specifically for the Internet of Medical Things (IoMT), screening 63 studies, appears in~."
Related Work and Research Gap,Post-Quantum and Hybrid QKD-PQC Security for Healthcare,roosan2025pqctelehealth,S,Roosan et al.\ describe a DAG-blockchain architecture integrating PQC and QKD with privacy-preserving mechanisms for telehealth patient records~.
Related Work and Research Gap,Post-Quantum and Hybrid QKD-PQC Security for Healthcare,papadopoulos2026hybriddeployment,S,"Papadopoulos et al.\ report a practical, field-piloted deployment of hybrid QKD and PQC for off-site hospital data over a real QKD link (reported as built on the HellasQCI/EuroQCI infrastructure)~ --- a real deployment, not a simulation, though the fallback behavior of that deployment under QKD c..."
Related Work and Research Gap,Post-Quantum and Hybrid QKD-PQC Security for Healthcare,anon2026securemedical,S,"A further field-deployed report describes secure medical data transmission over a 140\,km real-world fiber network combining entanglement-based QKD with end-to-end PQC authentication~."
Related Work and Research Gap,Post-Quantum and Hybrid QKD-PQC Security for Healthcare,mahesh2025pcbqc,S,"Beyond healthcare, Mahesh and Mishra propose a patient-centric EHR system using multiple combined lattice-based PQC algorithms on a blockchain substrate~; this is PQC-only, with no QKD component."
Related Work and Research Gap,Post-Quantum and Hybrid QKD-PQC Security for Healthcare,maqsood2025enhancing,S,"Maqsood et al.\ evaluate PQC schemes (including a lattice-based KEM and a hash-based signature scheme) specifically for resource-constrained wearable IoMT devices, with real hardware benchmarking~ --- a hardware feasibility study, distinct in kind from the simulation-based evaluation in this pape..."
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,kyberphr2025,S,On the PQC-for-healthcare side: ML-KEM has been applied specifically to personal health record encryption in cloud settings~; broader roadmaps for post-quantum healthcare cybersecurity resilience~ and systematic reviews combining blockchain and quantum-safe techniques for e-health~ survey the spa...
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,pqhealthcareroadmap2024,S,On the PQC-for-healthcare side: ML-KEM has been applied specifically to personal health record encryption in cloud settings~; broader roadmaps for post-quantum healthcare cybersecurity resilience~ and systematic reviews combining blockchain and quantum-safe techniques for e-health~ survey the spa...
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,blockchainquantumehealth2025,S,On the PQC-for-healthcare side: ML-KEM has been applied specifically to personal health record encryption in cloud settings~; broader roadmaps for post-quantum healthcare cybersecurity resilience~ and systematic reviews combining blockchain and quantum-safe techniques for e-health~ survey the spa...
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,alif2024healthcareiot,S,On the PQC-for-healthcare side: ML-KEM has been applied specifically to personal health record encryption in cloud settings~; broader roadmaps for post-quantum healthcare cybersecurity resilience~ and systematic reviews combining blockchain and quantum-safe techniques for e-health~ survey the spa...
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,pqcaie2024,S,On the PQC-for-healthcare side: ML-KEM has been applied specifically to personal health record encryption in cloud settings~; broader roadmaps for post-quantum healthcare cybersecurity resilience~ and systematic reviews combining blockchain and quantum-safe techniques for e-health~ survey the spa...
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,mfaiomt2024,S,On the PQC-for-healthcare side: ML-KEM has been applied specifically to personal health record encryption in cloud settings~; broader roadmaps for post-quantum healthcare cybersecurity resilience~ and systematic reviews combining blockchain and quantum-safe techniques for e-health~ survey the spa...
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,blockchainlatticeehr2025,S,On the PQC-for-healthcare side: ML-KEM has been applied specifically to personal health record encryption in cloud settings~; broader roadmaps for post-quantum healthcare cybersecurity resilience~ and systematic reviews combining blockchain and quantum-safe techniques for e-health~ survey the spa...
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,southafricaehr2025,S,On the PQC-for-healthcare side: ML-KEM has been applied specifically to personal health record encryption in cloud settings~; broader roadmaps for post-quantum healthcare cybersecurity resilience~ and systematic reviews combining blockchain and quantum-safe techniques for e-health~ survey the spa...
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,edgenativefederatediomt2026,S,"An edge-native federated-learning approach to securing IoMT in the post-quantum era~ is architecturally close to this paper's own edge-gateway placement of cryptographic logic (Section~\ref{sec:architecture}), though it addresses federated model training rather than EHR transaction \keyest."
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,hybridmedicalimage2024,S,On the QKD-for-medical-data side: hybrid quantum-classical encryption has been proposed for medical image transmission in IoT-based telemedicine networks~; QKD-derived keys have been combined with blockchain for medical-data privacy and sharing~; and earlier work explored quantum-representation-b...
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,quantumkeymedicalblockchain2025,S,On the QKD-for-medical-data side: hybrid quantum-classical encryption has been proposed for medical image transmission in IoT-based telemedicine networks~; QKD-derived keys have been combined with blockchain for medical-data privacy and sharing~; and earlier work explored quantum-representation-b...
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,secmedicalimage2021,S,On the QKD-for-medical-data side: hybrid quantum-classical encryption has been proposed for medical image transmission in IoT-based telemedicine networks~; QKD-derived keys have been combined with blockchain for medical-data privacy and sharing~; and earlier work explored quantum-representation-b...
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,noninvasivepqcmedimage2026,S,On the QKD-for-medical-data side: hybrid quantum-classical encryption has been proposed for medical image transmission in IoT-based telemedicine networks~; QKD-derived keys have been combined with blockchain for medical-data privacy and sharing~; and earlier work explored quantum-representation-b...
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,sustainablemobileqkdpqc2024,S,"Two further sources connect QKD/PQC specifically to mobile and 5G/6G-adjacent transport: a combined QKD-with-PQC design for sustainable mobile network architectures~, and an IPsec-over-QKD proposal for adapting non-3GPP access to 5G networks~."
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,ipsecqkd5g2026,S,"Two further sources connect QKD/PQC specifically to mobile and 5G/6G-adjacent transport: a combined QKD-with-PQC design for sustainable mobile network architectures~, and an IPsec-over-QKD proposal for adapting non-3GPP access to 5G networks~."
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,lightweightmedicaliot2023,S,"On resource-constrained medical devices specifically, lightweight post-quantum authentication has been proposed for medical Internet-of-Things deployments~, and a fog-computing-assisted lightweight PQC scheme has been proposed for the broader Internet of Health Things~ --- both relevant to, thoug..."
Related Work and Research Gap,Additional Healthcare-Specific PQC and QKD Literature,iohtfog2025,S,"On resource-constrained medical devices specifically, lightweight post-quantum authentication has been proposed for medical Internet-of-Things deployments~, and a fog-computing-assisted lightweight PQC scheme has been proposed for the broader Internet of Health Things~ --- both relevant to, thoug..."
Related Work and Research Gap,QKD Classical-Channel Authentication and QKD Deployment,atutxasanz2025authentication,S,"This choice is grounded in Atutxa, Sanz, and colleagues' finding that a QKD deployment's classical channel requires authentication independent of the QKD protocol's own physical-layer security, in the context of a multi-site 5G/6G quantum-safe network~."
Related Work and Research Gap,QKD Classical-Channel Authentication and QKD Deployment,clason2026deployed,S,"On QKD's physical deployment characteristics, Clason et al.\ report a deployed trusted-node QKD network operating over 300\,km with a multi-site topology~."
Related Work and Research Gap,QKD Classical-Channel Authentication and QKD Deployment,kudaloor2026towardquantumsafe,S,"Kudaloor and Aijaz report an experimental evaluation of post-quantum cryptography intended for 6G contexts~, consistent with this paper's use of ML-KEM/ML-DSA as the PQC layer, though their evaluation is not EHR-specific."
Related Work and Research Gap,6G Security Architecture and 6G-Edge Healthcare,sixgsecuritysurveyjnca2024,S,Broad requirements-and-security surveys of the anticipated 6G landscape~ and layer-by-layer treatments separating 6G's physical-connection and service-layer security concerns~ together motivate this paper's own decision (Section~\ref{sec:sixg}) to model the 6G-edge network purely as a latency/thr...
Related Work and Research Gap,6G Security Architecture and 6G-Edge Healthcare,sixgsecprivacysurvey2021,S,Broad requirements-and-security surveys of the anticipated 6G landscape~ and layer-by-layer treatments separating 6G's physical-connection and service-layer security concerns~ together motivate this paper's own decision (Section~\ref{sec:sixg}) to model the 6G-edge network purely as a latency/thr...
Related Work and Research Gap,6G Security Architecture and 6G-Edge Healthcare,sixgsecuritylayers2025,S,Broad requirements-and-security surveys of the anticipated 6G landscape~ and layer-by-layer treatments separating 6G's physical-connection and service-layer security concerns~ together motivate this paper's own decision (Section~\ref{sec:sixg}) to model the 6G-edge network purely as a latency/thr...
Related Work and Research Gap,6G Security Architecture and 6G-Edge Healthcare,sixgedgesecurity2023,S,"Edge-specific security surveys, covering both the anticipated 6G network edge~ and the more mature, directly precedent 5G multi-access edge computing (MEC) security literature~, support this paper's placement of PQC and adaptive key-establishment logic at the Healthcare Edge Gateway (Section~\ref..."
Related Work and Research Gap,6G Security Architecture and 6G-Edge Healthcare,mecsecuritysurvey2021,S,"Edge-specific security surveys, covering both the anticipated 6G network edge~ and the more mature, directly precedent 5G multi-access edge computing (MEC) security literature~, support this paper's placement of PQC and adaptive key-establishment logic at the Healthcare Edge Gateway (Section~\ref..."
Related Work and Research Gap,6G Security Architecture and 6G-Edge Healthcare,pqc6gphysicallayer2024,S,"A physical-layer security scheme specifically combining 6G wireless transmission with PQC has also been proposed~, addressing a layer below this paper's own application-layer PQC placement, and a survey of zero-trust architecture applied to 6G networks~ directly parallels the zero-trust framing t..."
Related Work and Research Gap,6G Security Architecture and 6G-Edge Healthcare,zerotrust6gsurvey2024,S,"A physical-layer security scheme specifically combining 6G wireless transmission with PQC has also been proposed~, addressing a layer below this paper's own application-layer PQC placement, and a survey of zero-trust architecture applied to 6G networks~ directly parallels the zero-trust framing t..."
Related Work and Research Gap,6G Security Architecture and 6G-Edge Healthcare,pqcmobileresilience2026,S,"Beyond the wireless-security literature specifically, PQC integration into mobile-network resilience more broadly is an active area~, and a decentralized, blockchain-based architecture for edge-based IoMT networks~ offers an alternative edge-healthcare architecture pattern --- blockchain-mediated..."
Related Work and Research Gap,6G Security Architecture and 6G-Edge Healthcare,bedgehealth2021,S,"Beyond the wireless-security literature specifically, PQC integration into mobile-network resilience more broadly is an active area~, and a decentralized, blockchain-based architecture for edge-based IoMT networks~ offers an alternative edge-healthcare architecture pattern --- blockchain-mediated..."
Related Work and Research Gap,Adaptive Fallback in Critical Infrastructure,zhu2025technoeconomic,S,"The single closest prior evaluation methodology we identified is Zhu's techno-economic feasibility analysis of QKD for power-system communications~, which evaluates QKD-only, PQC-only, and hybrid modes against power-grid traffic (GOOSE/PMU-class messages) using stochastic modeling, with fallback ..."
Related Work and Research Gap,Adaptive Fallback in Critical Infrastructure,spooren2026pqcenhanced,S,"Spooren et al.\ describe a layered WireGuard-and-Rosenpass construction operating over an ETSI QKD API with an explicit fail-safe design for a generic multi-hop network, evaluated in a lab testbed and simulation~; this establishes fail-safe layered QKD-PQC design as a real, evaluated pattern, tho..."
Related Work and Research Gap,Adaptive Fallback in Critical Infrastructure,nist2025cryptoagility,S,Adaptive and staged migration to quantum-safe cryptography is an active concern beyond any single evaluated mechanism: NIST's own guidance on cryptographic agility~ and an IETF Internet-Draft addressing PQC migration specifically for telecom networks~ both treat the ability to change cryptographi...
Related Work and Research Gap,Adaptive Fallback in Critical Infrastructure,ietf2026telecompqc,S,Adaptive and staged migration to quantum-safe cryptography is an active concern beyond any single evaluated mechanism: NIST's own guidance on cryptographic agility~ and an IETF Internet-Draft addressing PQC migration specifically for telecom networks~ both treat the ability to change cryptographi...
Related Work and Research Gap,Adaptive Fallback in Critical Infrastructure,pqcmigrationframework2023,S,"General frameworks for staged PQC migration with security-dependency analysis~ and strategic quantum-readiness architectures for risk management~ address the same adaptivity concern at an organizational planning level, again a different timescale and granularity from this paper's per-transaction ..."
Related Work and Research Gap,Adaptive Fallback in Critical Infrastructure,quasar2025,S,"General frameworks for staged PQC migration with security-dependency analysis~ and strategic quantum-readiness architectures for risk management~ address the same adaptivity concern at an organizational planning level, again a different timescale and granularity from this paper's per-transaction ..."
Related Work and Research Gap,Adaptive Fallback in Critical Infrastructure,scadacosim2025,S,"Closer to this paper's own domain analogy, adaptive and QKD-aware mechanisms have also been proposed for other critical-infrastructure sectors beyond power-grid communications: a dynamic-key-aware co-simulation framework for QKD-secured SCADA (industrial control) systems~ and a quantum-based sign..."
